Nome do Pacote-Atividade,Pacote de Viagem,Atividade Turistica,Inclusa por Padrao
Paris Classica - City Tour Guiado,Paris Classica,City Tour Guiado,TRUE
Paris Classica - Degustacao de Vinhos,Paris Classica,Degustacao de Vinhos,FALSE
Paris Classica - Museu e Monumentos,Paris Classica,Museu e Monumentos,TRUE
Toquio Premium - Experiencia Cultural,Toquio Premium,Experiencia Cultural,TRUE
Toquio Premium - Passeio Gastronomico,Toquio Premium,Passeio Gastronomico,FALSE
Toquio Premium - Tour Fotografico,Toquio Premium,Tour Fotografico,TRUE
Pequim Imperial - Museu e Monumentos,Pequim Imperial,Museu e Monumentos,TRUE
Pequim Imperial - Experiencia Cultural,Pequim Imperial,Experiencia Cultural,FALSE
Rio Maravilhoso - Passeio de Barco,Rio Maravilhoso,Passeio de Barco,FALSE
Rio Maravilhoso - Trilha Ecologica,Rio Maravilhoso,Trilha Ecologica,TRUE
Rio Maravilhoso - Voo de Helicoptero,Rio Maravilhoso,Voo de Helicoptero,FALSE
Nova York Experience - City Tour Guiado,Nova York Experience,City Tour Guiado,TRUE
Nova York Experience - Ingresso Parque Tematico,Nova York Experience,Ingresso Parque Tematico,FALSE
Nova York Experience - Voo de Helicoptero,Nova York Experience,Voo de Helicoptero,FALSE
Sydney Adventure - Trilha Ecologica,Sydney Adventure,Trilha Ecologica,TRUE
Sydney Adventure - Passeio de Barco,Sydney Adventure,Passeio de Barco,FALSE
Sydney Adventure - Tour Fotografico,Sydney Adventure,Tour Fotografico,TRUE
